name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
YABI,,,no,Retired(2016),,Existing Workflow systems,https://yabi.readthedocs.io/en/latest/,https://github.com/muccg/yabi/,https://doi.org/10.1186/1751-0473-7-1,Academia,https://www.murdoch.edu.au/,"Yabi is a 3-tier application stack to provide users with an intuitive, easy to use, abstraction of compute and data environments",online research envrionment,genomic,yes,
Seqware,,,no,Retired(2015),,Existing Workflow systems,https://seqware.github.io/docs/6-pipeline/,https://github.com/SeqWare/seqware,https://doi.org/10.1186/1471-2105-11-S12-S2,Academia,,"The SeqWare Pipeline sub-project is really the heart of the overall SeqWare project. This provides the core functionality of SeqWare; it is workflow developer environment and a series of tools for installing, running, and monitoring workflows.",,genomic,yes,
Pegasus,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://pegasus.isi.edu/,https://github.com/pegasus-isi/pegasus,https://doi.org/10.1016/j.jocs.2020.101200,Academia,https://scitech.group,"Pegasus WMS is a configurable system for mapping and executing scientific workflows over a wide range of computational infrastructures including laptops, campus clusters, supercomputers, grids, and commercial and academic clouds. Pegasus has been used to run workflows with up to 1 million tasks that process tens of terabytes of data at a time.",scientific workflow,science,yes,
Ketrew,,,no,Retired ( 2017),,Existing Workflow systems,http://www.hammerlab.org/docs/ketrew/master/index.html,https://github.com/hammerlab/ketrew,https://doi.org/10.1101/213884,Academia,http://www.hammerlab.org/,,,,yes,
Apache Airflow,,,yes,Active (2023-04-07),,Existing Workflow systems,https://airflow.apache.org/,https://github.com/apache/airflow,,commercial,https://www.airbnb.de/,"Apache Airflow (or simply Airflow) is a platform to programmatically author, schedule, and monitor workflows.",,data processing,yes,
Couler,,,no,Retired ( 2021),,Existing Workflow systems,https://couler-proj.github.io/couler/index.html,https://github.com/couler-proj/couler,,open-source-project,,"Couler aims to provide a unified interface for constructing and managing workflows on different workflow engines, such as Argo Workflows, Tekton Pipelines, and Apache Airflow.",,,yes,
Cosmos,,,no,Retired (2022-08),,Existing Workflow systems,https://mizzou-cbmi.github.io/COSMOS2/,https://github.com/Mizzou-CBMI/COSMOS2,https://doi.org/10.1093/bioinformatics/btu385,Academia,,"Cosmos is a python library for creating scientific pipelines that run on a distributed computing cluster. It is primarily designed and used for machine learning and bioinformatics pipelines, but is general enough for any type of distributed computing workflow and is also used in fields such as image processing.",,,yes,
Pinball,,,no,Retired (2019-12-11),,Existing Workflow systems,,https://github.com/pinterest/pinball,,Enterprise,https://engineering.pinterest.com/,Pinball is a scalable workflow manager.,,,yes,
bcbio,,,no,Barley Active,,Existing Workflow systems,bcbio-nextgen.readthedocs.io,https://github.com/bcbio/bcbio-nextgen,http://journal.embnet.org/index.php/embnetjournal/article/download/286/674,Academia,,"A python toolkit providing best-practice pipelines for fully automated high throughput sequencing analysis. You write a high level configuration file specifying your inputs and analysis parameters. This input drives a parallel pipeline that handles distributed execution, idempotent processing restarts and safe transactional steps. The goal is to provide a shared community resource that handles the data processing component of sequencing analysis, providing researchers with more time to focus on the downstream biology.",pipeline sequencing pipeline,genomic,yes,
chronos,,,no,Retired (2018),,Existing Workflow systems,,https://github.com/mesos/chronos,,Enterprise,https://medium.com/airbnb-engineering/chronos-a-replacement-for-cron-f05d7d986a9d,Fault tolerant job scheduler for Mesos which handles dependencies and ISO8601 based schedules,job scheduler,,yes,
azkaban,,,no,Active (2023-04-07),,Existing Workflow systems,https://azkaban.github.io/,https://github.com/azkaban/azkaban,https://doi.org/10.1145/2463676.2463707,Enterprise,https://www.linkedin.com/pulse/searching-suitable-hadoop-jobs-scheduler-azkaban-answer-tushar-bhutte/,Azkaban is a batch workflow job scheduler created at LinkedIn to run Hadoop jobs. Azkaban resolves the ordering through job dependencies and provides an easy to use web user interface to maintain and track your workflows.,hadoob workflow scheduler,"ETL,hadoop",yes,
Apache nifi,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://nifi.apache.org/,https://github.com/apache/nifi,,Agency,,"iFi was built to automate the flow of data between systems. While the term 'dataflow' is used in a variety of contexts, we use it here to mean the automated and managed flow of information between systems.","Dataflow, ETL","Data pipeline, ETL",yes,
flowr,,,no,Active (2023-04-07),,Existing Workflow systems,http://flow-r.github.io/flowr/,https://github.com/flow-r/flowr,,Academia,http://sahilseth.com/software/,"Flowr framework allows you to design and implement complex pipelines, and deploy them on your institution's computing cluster. This has been built keeping in mind the needs of bioinformatics workflows. However, it is easily extendable to any field where a series of steps (shell commands) are to be executed in a (work)flow.",R workflows,-,yes,
Mistral,,,no,Active (2023-04-07),,Existing Workflow systems,https://docs.openstack.org/mistral/latest/user/wf_lang_v2.html,https://github.com/openstack/mistral,,Foundation,,"Workflow Service integrated with OpenStack. This project aims to provide a mechanism to define tasks and workflows in a simple YAML-based language, manage and execute them in a distributed environment.",tasks and workflows,workflow servce ,yes,
Nipype,,,no,Active (2023-04-07),,Existing Workflow systems,https://nipype.readthedocs.io/en/latest/,https://github.com/nipy/nipype,https://doi.org/10.3389/fninf.2011.00013,"Academia, Community",https://nipy.org/,Neuroimaging in Python Pipelines and Interfaces,data porcessing,Neuroimaging,yes,
EndOfDay,End of Day,,no,Retired (2016-04-3),,Existing Workflow systems,,https://github.com/joestubbs/endofday,https://ceur-ws.org/Vol-1871/paper6.pdf,Academia,,Execute pipelines and other workflows of docker containers.,Docker workdlows,,yes,
BioDSL,,,no,Retired (2015-11-18),,Existing Workflow systems,,https://github.com/maasha/BioDSL,,,,"BioDSL (pronounced Biodiesel) is a Domain Specific Language for creating bioinformatic analysis workflows. A workflow may consist of several pipelines and each pipeline consists of a series of steps such as reading in data from a file, processing the data in some way, and writing data to a new file.",analysis workflows,Bionformatik,yes,
BigDataScript,,,no,Active (2023-04-07),,Existing Workflow systems,https://pcingola.github.io/bds/,https://github.com/pcingola/bds,https://doi.org/10.1093/bioinformatics/btu595,Academia,,Develop a data analysis pipelines and run exactly the same script everywhere. No matter how big the computer.,"Data pipelines, Big Data","Scripts, Big Data",yes,
Dagobah,,,no,NoActivity (2015-03-05),,Existing Workflow systems,,https://github.com/thieman/dagobah,,,,"Simple DAG-based job scheduler in Python. Dagobah is a simple dependency-based job scheduler written in Python. 
Dagobah allows you to schedule periodic jobs using Cron syntax. Each job
 then kicks off a series of tasks (subprocesses) in an order defined by a
 dependency graph you can easily draw with click-and-drag in the web 
interface.",Dag Subprocess,job schedukler,yes,
Omics Pipe,Omics Pipe: uses Ruffus,,no,Retired ,404,Existing Workflow systems,https://sulab.org/tools/omics-pipe/,https://bitbucket.org/sulab/omics_pipe,,,,"Omics Pipe is an open-source, modular computational platform that automates best practice multi-omics data analysis pipelines. Omics Pipe can be run from the command-line by providing it with a YAML parameter file specifying your directory structure and software specific parameters or on AWS. This executes a parallel automated pipeline on a Distributed Resource Management system that efficiently handles job resource allocation, monitoring and restarting",multi-omice data analysis pipelines,genomic,yes,
eHive,Ensembl Hive,,no,Active (2023-04-07),,Existing Workflow systems,https://ensembl-hive.readthedocs.io/en/version-2.6/,https://github.com/Ensembl/ensembl-hive,https://doi.org/10.1186/1471-2105-11-240,Academia,https://www.ensembl.org,"eHive is a system for running computation pipelines on distributed computing resources - clusters, farms or grids.","distributed computing, computational pipelines",computational pipeline,yes,
QuickNGS,,,no ,Retired ,404 (http://bifacility.uni-koeln.de/quickngs/web),Existing Workflow systems,https://www.cecad.uni-koeln.de/research/core-facilities/bioinformatics-facility/,,,Academia,https://www.cecad.uni-koeln.de/research/core-facilities/bioinformatics-facility/,"All in one data processing for NExt-Generation Sequencing. QuickNGS,
 a highly scalable NGS analysis system developed in-house (Wagle et al.,
 2015). It currently comprises analysis pipelines for transcriptomics 
(RNA-Seq), epigenomics (ChIP-Seq), whole-genome sequencing (WGS) as well
 as solutions for WGS and whole-exome sequencing (WXS) of tumor samples.
 Integrated analyses of the transcriptome and epigenome will be 
performed if both data types are available. Downstream analyses of the 
results and assistance with the publication process are provided upon 
individual request.",,genomic,yes,
GenePattern,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://www.genepattern.org,https://github.com/genepattern/genepattern-notebook,https://doi.org/10.1038/ng0506-500,Academia,,A Platform for Reproducible bioinformatics,"NOtebooks, genomic tools, anaylsis pipelines, reproducible",bioinformatics,yes,
Chipster,,,no,Retired (2022-03-31),,Existing Workflow systems,https://chipster.csc.fi/,https://github.com/chipster/chipster,https://doi.org/10.1186/1471-2164-12-507,Academia,,"Chipster is a user-friendly analysis software for high-throughput data such as RNA-seq and single-cell RNA-seq. Chipster provides a web interface to over 500 analysis tools, and the actual analysis jobs run on the server side making use of CSC's computing environment.",data analysis,genomic,yes,
The Genome Modeling System,,,no,Retired (2020-01-31),,Existing Workflow systems,https://github.com/genome/gms/wiki,https://github.com/genome/gms,https://doi.org/10.1371/journal.pcbi.1004274,Academia,,"The Genome Institute at Washington University has developed a high-throughput, fault-tolerant analysis information management system called the Genome Modeling System (GMS), capable of executing complex, interdependent, and automated genome analysis pipelines at a massive scale. The GMS framework provides detailed tracking of samples and data coupled with reliable and repeatable analysis pipelines. GMS includes a full system image with software and services, expandable from one workstation to a large compute cluster.","high-throughput, fault-tolerant analysis information management system",genomic,yes,
Cuneiform ,"Cuneiform, A Functional Workflow Language",,maybe,Active (2023-04-07),,Existing Workflow systems,http://www.cuneiform-lang.org/,https://github.com/joergen7/cuneiform,http://ceur-ws.org/Vol-1330/paper-03.pdf,Academia,,"Cuneiform is a large-scale data analysis functional programming language. It is open because it easily integrates foreign tools and libraries, e.g., Python libraries or command line tools. It is general because it has the expressive power of a functional programming language while using the independence of sub-expressions to automatically parallelize programs. Cuneiform uses distributed Erlang to scalably run in cluster and cloud environments.","large-scale, data anylsisi, functional programming, cluster, clozd ",data analysis,yes,
Anvaya,,,no,"?, Retired",,Existing Workflow systems,http://webapp.cabgrid.res.in/biocomp/Anvaya/ANVAYA_Main.html#ANVAYA_WF_SUMM,,https://doi.org/10.1142/S0219720012500060,Academia,https://cdac.in/index.aspx?id=bio_products,"A Workflow-Pipeline is logical connection of commonly used Bioinformatics tools, which are run either in serial mode or in parallel mode, to achieve a scientific target.",workflow,"bioinformatics, genomic",yes,
Makeflow,,,no,Active (2023-04-07),,Existing Workflow systems,http://ccl.cse.nd.edu/software/makeflow/,,http://dx.doi.org/10.1145/2443416.2443417,Academia,,"Makeflow is a workflow engine for large scale distributed computing. It accepts a specification of a large amount of work to be performed, and runs it on remote machines in parallel where possible. In addition, Makeflow is fault-tolerant, so you can use it to coordinate very large tasks that may run for days or weeks in the face of failures. Makeflow is designed to be similar to Make , so if you can write a Makefile, then you can write a Makeflow.","workflow system,  large scale distributed computing, grid, cloud",workflow,yes,
Apache Airavata,,,no,Active (2023-04-07),,Existing Workflow systems,https://airavata.apache.org/,https://github.com/apache/airavata,http://doi.acm.org/10.1145/2110486.2110490,Academia,,"Apache AiravataTM is a software framework that enables you to compose, manage, execute, and monitor large scale applications and workflows on distributed computing resources such as local clusters, supercomputers, computational grids, and computing clouds.","workflow, managment, large, scale, clusters, supercomputers, grids, cloud","workflows, large scale",yes,
PyFlow,,,no,Inactive (2020-07-01),,Existing Workflow systems,,https://github.com/Illumina/pyflow,,commercial,,"pyFlow is a tool to manage tasks in the context of a task dependency graph. It has some similarities to make. pyFlow is not a program – it is a python module, and workflows are defined using pyFlow by writing regular python code with the pyFlow API",workflow,"workflow, task engine",yes,
Cluster Flow,,,no,Inactive (2019-07-08),,Existing Workflow systems,http://clusterflow.io/,https://github.com/ewels/clusterflow,https://doi.org/10.12688%2Ff1000research.10335.2,Academia,,"A simple and flexible bioinformatics pipeline tool. Cluster Flow is a pipelining tool to automate and standardise
bioinformatics analyses on high-performance cluster environments.
It is designed to be easy to use, quick to set up and flexible to configure.","workflows, pipelines, cluster, local",bionformatics,yes,
Unipro Ugene,,,no,Active (2023-04-07),,Existing Workflow systems,http://ugene.net/,https://github.com/ugeneunipro/ugene,https://doi.org/10.1093/bioinformatics/bts091,"Academia, commercial support",,free open-source bioinformatics software,bioinformatic tools,bionformatics,yes,
Cloudslang,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://www.cloudslang.io/#/,https://github.com/CloudSlang/cloud-slang,,commercial,https://www.microfocus.com,"CloudSlang is an open source tool for orchestrating cutting edge technologies. It can orchestrate anything you can imagine in an agentless manner. You can use or customize ready-made YAML based workflows. They are powerful, shareable and human readable. Modernize your IT with CloudSlang.","process based orchestration , agentless, proven, yaml, workflow",orchestration of workflows,yes,
Stacks,,,no,Active (2023-04-07),,Existing Workflow systems,http://catchenlab.life.illinois.edu/stacks/,http://catchenlab.life.illinois.edu/stacks/source/stacks-2.64.tar.gz,https://doi.org/10.1534/g3.111.000240,Academia,,"Stacks is a software pipeline for building loci from short-read sequences, such as those generated on the Illumina platform. Stacks was developed to work with restriction enzyme-based data, such as RAD-seq, for the purpose of building genetic maps and conducting population genomics and phylogeography.",pipeline for RAD-seg data,genomics,yes,
Leaf,,,no,Retired,404 (http://www.francesconapolitano.it/leaf/index.html),Existing Workflow systems,http://www.francesconapolitano.it/leaf/index.html,,,,,,,,-,
omictools,,,no,,,Existing Workflow systems,http://omictools.com/,,,commercial,https://omictools.com/company/,,,,no,
JDL,Job Description Language,Job Description Language,no,,,Existing Workflow systems,https://edms.cern.ch/ui/file/590869/1/WMS-JDL.pdf,,https://edms.cern.ch/ui/file/590869/1/WMS-JDL.pdf,Academia,,"The Job Description Language, JDL, is a high-level, user-oriented language based on Condor classified advertisements for describing jobs and aggregates of jobs such as Direct Acyclic Graphs and Collections","DAGs, jobs",condor,,
YAWL,YAWL yet another workflow language,yet another workflow language,no,Active (2023-04-07),,Existing Workflow systems,https://yawlfoundation.github.io,https://github.com/yawlfoundation/yawl,https://doi.org/10.1016/j.softx.2020.100576,Academia,,"YAWL is a free, open source BPM/Workflow system, based on a concise and powerful modelling language, that handles complex data transformations, and full integration with organizational resources, applications and external Web Services.","BPM, workflow system",BPM,yes,
Triquetrum,,,no,Retired (2021-10-07),,Existing Workflow systems,https://projects.eclipse.org/projects/science.triquetrum,https://github.com/eclipse-archived/triquetrum,https://doi.org/10.1016/j.procs.2016.05.546,Academia,,"Triquetrum delivers an open platform for managing and executing scientific workflows. The goal of Triquetrum is to support a wide range of use cases, ranging from automated processes based on predefined models, to replaying ad-hoc research workflows recorded from a user's actions in a scientific workbench UI. It will allow to define and execute models from personal pipelines with a few steps to massive models with thousands of elements.",scientific workflows,scientific workflows,yes,
Kronos,,,no,Inactive (2016-10-06),,Existing Workflow systems,https://kronos.readthedocs.io/en/latest/,https://github.com/jtaghiyar/kronos,https://doi.org/10.1101/040352,Academia,,A workflow assembler for genome analytics and informatics.,workflow,genome,yes,
qsubsec,,,no,INactive (2019-08-30),,Existing Workflow systems,,https://github.com/alastair-droop/qsubsec,https://doi.org/10.1093/bioinformatics/btv698,Academia,,"qsubsec is a template language for generating script files for submission using the SGE grid system. By using this system, you can separate the logic of your qsub jobs from the data required for a specific run.",git system submission,remplate preporcesser engine,yes,
YesWorkflow,,,no,?,,Existing Workflow systems,,https://github.com/yesworkflow-org/yw-prototypes,https://doi.org/10.2218/ijdc.v10i1.370,Academia,,"YesWorkflow aims to provide a number of the benefits of using a scientific workflow management system without having to rewrite scripts and other scientific software. Rather than reimplement code so that it can be executed and managed by a workflow engine, a YesWorkflow user simply adds special YesWorkflow (YW) comments to existing scripts. These comments declare how data is used and results produced, step by step, by the script. The YesWorkflow tools interpret the YW comments and produce graphical output that reveals the stages of computation and the flow of data in the script.",,scripts,yes,
gwf,,Grid WorkFlow,no,Active (2023-04-07),,Existing Workflow systems,https://gwf.app/,https://github.com/gwforg/gwf,,Academia,https://genome.au.dk/,"gwf is a flexible, pragmatic workflow tool for building and running large, scientific workflows. It runs on Python 3.7+ and is developed at GenomeDK, Aarhus University.",scientific workflow,scientific workflows,yes,
FireWorks,,,maybe,FireWorks,,Existing Workflow systems,https://materialsproject.github.io/fireworks/,https://github.com/materialsproject/fireworks,https://doi.org/10.1002/cpe.3505,Academia,,"FireWorks is a free, open-source code for defining, managing, and executing workflows. Complex workflows can be defined using Python, JSON, or YAML, are stored using MongoDB, and can be monitored through a built-in web interface. Workflow execution can be automated over arbitrary computing resources, including those that have a queueing system. FireWorks has been used to run millions of workflows encompassing tens of millions of CPU-hours across diverse application areas and in long-term production projects over the span of multiple years. An academic paper on FireWorks is also available. For details, see Citing FireWorks","large scale, workflow","workflow, high throughput",yes,
NGLESS,,NGS with less work,no,Active (2023-04-07),,Existing Workflow systems,https://ngless.readthedocs.io/en/latest/,https://github.com/ngless-toolkit/ngless,https://doi.org/10.1186/s40168-019-0684-8,Academia,,NGLess is a domain-specific language for NGS (next-generation sequencing data) processing,prprocessing FastQ files,genomic,yes,
pypipegraph,,,no,INactive ( 2021-07-12),,Existing Workflow systems,,https://github.com/IMTMarburg/pypipegraph,,Academia,https://www.imt.uni-marburg.de/,"pypipegraph: is an MIT-licensed library for constructing a workflow piece by piece and executing just the parts of it that need to be (re-)done. It supports using multiple cores (SMP) and (eventually, alpha code right now) machines (cluster) and is a hybrid between a dependency tracker (think 'make') and a cluster engine.","multicore, workflow pipelines",general purpose,yes,
Cromwell ,,,maybe,Active (2023-04-07),,Existing Workflow systems,https://cromwell.readthedocs.io/en/stable/,https://github.com/broadinstitute/cromwell,,Academia,http://www.broadinstitute.org/,Cromwell is a Workflow Management System geared towards scientific workflows,"workflow managment system, Backends (grids, cloulds, local)",bionformatics,yes,
SUSHI,,,no,Active (2023-04-07),,Existing Workflow systems,,https://github.com/uzh/sushi,,Academia,http://www.uzh.ch/,"USHI can Support Users for SHell script Integration, defined as a recursive acronym as usual, but someone might say after using it, SUSHI is a Super Ultra Special Hyper Incredible system!! SUSHI is an agile and extensible data analysis framework that brings innovative concepts to Next Generation Sequencing bioinformatics. SUSHI lets bioinformaticians wrap open source tools like e.g. bowtie, STAR or GATK into apps and provides natively a commandline and a web interface to run these apps. Users can script their analysis as well as do an analysis-by-clicking in their browser. When running an SUSHI application SUSHI takes care of all aspects of documentation: Input data, parameters, software tools and versions are stored persistently. SUSHI accepts meta-information on samples and processing and lets the user define the meta-information she/he needs in a tabular format. Finally, all results, the associated logs, all parameters and all meta-information is stored in a single, self-contained directory that can be shared with collaborators. Altogether, SUSHI as a framework truly supports collaborative, reproducible data analysis and research. At the Functional Genomics Center, SUSHI is tightly integrated with B-Fabric(fgcz-bfabric.uzh.ch) and shares the authentication, sample information and the storage. The production version of SUSHI is currently being further integrated in the overall B-Fabric framework.",NGS; data anylsis,genomic,yes,
MIRC CTP,Clinical Trial Processor,,no,Inactive,,Existing Workflow systems,https://mircwiki.rsna.org/index.php?title=MIRC_CTP,,,Non-Profit,https://www.rsna.org/about,CTP is a stand-alone program that provides all the processing features of a MIRC site for clinical trials in a highly configurable and extensible application. It connects to FieldCenter applications and can also connect to MIRC sites when necessary,,"image processing, clinical trials",yes,
noodles,,,no,Active (2023-04-07),,Existing Workflow systems,https://nlesc.github.io/noodles/,https://github.com/NLeSC/noodles,,Non-Profit,https://www.esciencecenter.nl/,Noodles is a task-based parallel programming model in Python that offers the same intuitive interface when running complex workflows on your laptop or on large computer clusters.,"workflow, local, distributed",workflow engine,yes,
Swift,Swift & Swift/T,,no,Retired (2015),,Existing Workflow systems,http://swift-lang.org/main/index.php,,https://doi.org/10.1016/j.parco.2011.05.005,Academia,,"A simple tool for fast, easy scripting on big machines.","scripts, parallel, cluster, supercomputing",script deployment,yes,
Consonance,,runs SeqWare & CWL,maybe,Inactive (2018-06-27),,Existing Workflow systems,https://github.com/Consonance/consonance,https://github.com/Consonance/consonance,,Community?,,"Consonance is a cloud orchestration tool for running Docker-based tools and CWL/WDL workflows available at Dockstore on fleets of VMs running in clouds. It allows you to schedule a set of Dockstore job orders, spinning up the necessary VMs on AWS, Microsoft Azure, or OpenStack via the Youxia library for provisioning cloud-based VMs, and then tearing them down after all work is complete.","cloud orchestration, CWL",cloud orchestration,yes,
Dog,,,no,Inactive (2018-08-25),,Existing Workflow systems,,https://github.com/dogtools/dog,,Hackaton,https://slides.com/xsb/dog-dogfile,Dog is a command line application that executes automated tasks.,"yaml, task exeecution, CLI",task orchestration,yes,
Produce,,,maybe,Active (2023-04-07),,Existing Workflow systems,,https://github.com/texttheater/produce,,Community?,,"Produce is an incremental build system for the command line, like Make or redo, but different: it is scriptable in Python and it supports multiple variable parts in file names. This makes it ideal for doing things beyond compiling code, like setting up replicable scientific experiments.","replicable experiments, data processing","data processing, replicable processing",yes,
